Mes;Laborable;Sÿbados;Feriados
19-abr;145,204;149,706;101,143
19-may;180,659;173,414;107,928
19-jun;148,758;142,000;79,432
19-jul;142,022;128,680;69,217
19-ago;140,149;130,942;72,643
19-sep;142,536;130,904;67,845
19-oct;139,218;139,218;57,463
19-nov;143,001;121,179;58,921
19-dic;144,876;133,210;71,485
20-ene;123,542;99,637;48,098
20-feb;130,240;104,886;52,857
20-mar;76,370;59,867;35,878
20-abr;16,842;12,598;2,950
20-may;22,322;16,189;7,636
20-jun;31,245;22,553;0
20-jul;33,444;22,542;0
20-ago;42,924;29,612;0
20-sep;57,437;42,673;0
20-oct;72,102;65,455;23,079
20-nov;77,584;61,038;35,127
20-dic;88,153;78,264;40,200
21-ene;54,702;0;0
21-feb;86,383;0;34,675
21-mar;88,181;73,142;35,374
21-abr;89,280;71,847;35,478
21-may;88,287;80,561;43,922
21-jun;87,135;76,275;37,014
21-jul;88,734;78,180;35,658
21-ago;93,437;87,694;42,078
21-sep;96,533;82,274;40,420
21-oct;101,429;90,733;44,994
21-nov;107,058;78,657;43,502
21-dic;124,349;107,140;49,578
22-ene;92,182;66,351;37,567
22-feb;101,781;80,756;43,283
22-mar;121,611;98,815;47,598
22-abr;131,275;95,755;46,151
22-may;134,583;105,378;51,618
22-jun;136,247;106,194;50,701
22-jul;133,935;110,336;53,959
22-ago;141,808;114,106;57,548
22-sep;144,064;110,961;54,757
22-oct;148,015;117,046;59,028
22-nov;148,224;101,630;55,269
22-dic;159,382;124,149;66,575
23-ene;132,906;106,035;48,931
23-feb;137,854;93,538;50,878
23-mar;156,156;125,713;62,327
23-abr;161,269;118,330;54,875
23-may;161,614;120,225;57,378
23-jun;160,111;125,457;59,308
23-jul;157,938;129,231;63,018
23-ago;161,756;131,852;65,306
23-sep;168,041;131,889;63,279
23-oct;172,357;136,062;69,688
23-nov;164,320;115,384;66,460
23-dic;180,125;152,964;76,894
